,电影名称,信息,评分,评价人数,短评
0,肖申克的救赎,导演: 弗兰克·德拉邦特 Frank Darabont 主演: 蒂姆·罗宾斯 Tim Robbins /... 1994 / 美国 / 犯罪 剧情,9.7,2855572人评价,希望让人自由。
1,霸王别姬,导演: 陈凯歌 Kaige Chen 主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha... 1993 / 中国大陆 中国香港 / 剧情 爱情 同性,9.6,2111219人评价,风华绝代。
2,阿甘正传,导演: 罗伯特·泽米吉斯 Robert Zemeckis 主演: 汤姆·汉克斯 Tom Hanks / ... 1994 / 美国 / 剧情 爱情,9.5,2131782人评价,一部美国近现代史。
3,泰坦尼克号,导演: 詹姆斯·卡梅隆 James Cameron 主演: 莱昂纳多·迪卡普里奥 Leonardo... 1997 / 美国 墨西哥 / 剧情 爱情 灾难,9.5,2156952人评价,失去的才是永恒的。
4,这个杀手不太冷,导演: 吕克·贝松 Luc Besson 主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ... 1994 / 法国 美国 / 剧情 动作 犯罪,9.4,2268975人评价,怪蜀黍和小萝莉不得不说的故事。
5,美丽人生,导演: 罗伯托·贝尼尼 Roberto Benigni 主演: 罗伯托·贝尼尼 Roberto Beni... 1997 / 意大利 / 剧情 喜剧 爱情 战争,9.6,1309749人评价,最美的谎言。
6,千与千寻,导演: 宫崎骏 Hayao Miyazaki 主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy... 2001 / 日本 / 剧情 动画 奇幻,9.4,2212522人评价,最好的宫崎骏，最好的久石让。
7,辛德勒的名单,导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 连姆·尼森 Liam Neeson... 1993 / 美国 / 剧情 历史 战争,9.6,1091317人评价,拯救一个人，就是拯救整个世界。
8,星际穿越,导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 马修·麦康纳 Matthew Mc... 2014 / 美国 英国 加拿大 / 剧情 科幻 冒险,9.4,1802262人评价,爱是一种力量，让我们超越时空感知它的存在。
9,盗梦空间,导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 莱昂纳多·迪卡普里奥 Le... 2010 / 美国 英国 / 剧情 科幻 悬疑 冒险,9.4,2033975人评价,诺兰给了我们一场无法盗取的梦。
10,楚门的世界,导演: 彼得·威尔 Peter Weir 主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau... 1998 / 美国 / 剧情 科幻,9.4,1674694人评价,如果再也不能见到你，祝你早安，午安，晚安。
11,忠犬八公的故事,导演: 莱塞·霍尔斯道姆 Lasse Hallström 主演: 理查·基尔 Richard Ger... 2009 / 美国 英国 / 剧情,9.4,1383496人评价,永远都不能忘记你所爱的人。
